gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Hddc2,206.92240321741428,0.00714905935160526,0.09497008684255756,0.9235846332369693,0.9553842385130153
Pemt,143.92776720316536,0.21353761858597547,0.15916854732247465,0.04995040191066801,0.11034595601427699
Cdh4,6615.940952691088,-0.8972118023814745,0.166785537579149,3.118057366244764e-9,4.229981347731609e-8
Ckmt1,4383.737205881836,-0.21416916907795427,0.10488689966689387,0.011341108162478132,0.0322930583322713
Comt,1342.980913824762,-0.2758355451791995,0.06983789990393717,1.397579403813667e-5,9.139880463887098e-5
Rtca,1829.5794796697598,-0.012653670369901624,0.05902198588334324,0.7994506804407424,0.8743348558704666
Dbt,833.7700360497473,-0.3022042096783469,0.12258837199079728,0.0019371731710121993,0.007155052210053454
Dazap2,1276.3739316325646,0.09960492121473459,0.0834355774793972,0.14134950735454216,0.25124721956612556
Mcts1,541.8436299180719,0.014614377788164663,0.08220028511508624,0.8264684029964255,0.893569541658033
Trappc10,4467.382203056275,-0.11241066416108937,0.07049069897267912,0.05967965968888529,0.12742833212821789
Ccm2,1476.2654849147505,0.01063880972169071,0.05785630866053037,0.827779050949183,0.894358595701433
Tbrg4,1735.0233382276233,0.01546545079735374,0.0554137467797626,0.7412916112317789,0.8338657550974017
Ndufa9,3179.5280171830495,-0.02864843395469048,0.05210060011112227,0.512479612477571,0.6528283986308192
Lck,100.63776293412495,0.557011077285747,0.2553157798395166,0.0013894118769732897,0.0053651333857545405
Cttnbp2,148.3942605490145,-0.24749153111925715,0.34166004879560463,0.10343115547152663,0.19768269559321414
Galnt1,1116.2647349891938,-0.032218418927305086,0.08413519261372296,0.6346763072317811,0.7525212005468361
Mkrn2,2278.3676856416855,0.2816479256284227,0.12003873863082394,0.0031155460116474784,0.010789231310507068
Raf1,2910.7758833194475,-0.22591204772412612,0.06736128085330233,2.3058754163674317e-4,0.0011089949027734392
Pdgfb,127.11653984492035,-0.4305886293781645,0.396448172490308,0.022964644899404158,0.058109797837070744
Tamalin,162.7639684415174,0.8172099531520682,0.22773451540423967,1.1405724904383531e-5,7.59847049065421e-5
Acvr1b,3850.1787107937844,0.012368006066656436,0.061123327123909894,0.8101049048712304,0.8821492413546514
Tom1l2,10548.767012544286,0.019937117029499796,0.0778376850332538,0.7542856803672727,0.8424418361378244
Zfp385a,654.180809472768,-0.11139737426823834,0.10568316079142075,0.16953835749734236,0.28934203437110156
Itga5,76.29490116280165,2.8352330614596997,0.43264934018730833,7.058899854810019e-14,1.869925342183867e-12
Gabra2,2786.4793774238997,-0.15289052464614636,0.14955730315532054,0.13392404987135004,0.2413925148251814
Wdr77,2149.139009263895,-0.22112333404106807,0.0885566064090135,0.003418330816442985,0.011699638509848483
Atp5pb,6161.4636314181835,0.04832204884431956,0.04453509086922847,0.19193987158932815,0.3192687594456625
Hnrnpd,1431.9136345626544,-0.24415890917855781,0.15762935454604943,0.02677066251049506,0.06603144189112498
Dynlt1c,549.9910830934591,-0.12211614404900852,0.13046623966989565,0.1900571431980552,0.31658199998832237
C1d,801.2356079883605,-0.21860471604115309,0.11536234042945259,0.01533621575037021,0.04150077012589198
Gm2a,1117.2914113216095,-0.1937380996066041,0.0980553592431389,0.0155267850006572,0.0418968099973922
Krit1,1577.2120147649982,-0.0647765468315204,0.08751054335777514,0.35370178081947734,0.4994724906722827
Clcn4,4271.329870448716,0.08554714807019757,0.06800956077611353,0.13157000752472905,0.23791534831027783
Sema4f,10513.847025492818,-0.30624276139580964,0.08281054277724381,2.9408216162867615e-5,1.788007930376127e-4
Hk2,608.5207126475412,0.7331001704903067,0.6447386444996959,0.006008640908005772,0.0188511744910101
Myo18a,7459.730787930206,-0.3177192544047745,0.06240827169339416,4.1636191255332935e-8,4.5306943805935604e-7
