gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ndufa9,3179.5280171830495,8.931354796999123e-4,0.016453672454286174,0.8441853714876768,0.9765371132899583
Lck,100.63776293412495,0.012900072910879634,0.06004680965559383,0.20027248493195146,0.7952793260450607
Cttnbp2,148.3942605490145,-0.0011712660247395039,0.05645943896624214,0.859220844757415,0.9799582193395427
Galnt1,1116.2647349891938,-0.004397863108788897,0.02962714656319594,0.5581598581395273,0.9288655172230902
Mkrn2,2278.3676856416855,0.0089134151701143,0.038655163423148065,0.32397303219518936,0.8690598128529347
Raf1,2910.7758833194475,-0.006757032498655975,0.026866098755616373,0.32689737930539714,0.8690598128529347
Pdgfb,127.11653984492035,9.694901936205959e-4,0.054269479407144404,0.8888777799904718,0.984525511498282
Tamalin,162.7639684415174,0.011548532485854185,0.05603038418537865,0.23739480418601147,0.8278576923724852
Acvr1b,3850.1787107937844,0.008520723719773802,0.030391920022024285,0.2701366572769522,0.8401704567647981
Tom1l2,10548.767012544286,-0.007721121470941555,0.03308807870800512,0.3482833156622613,0.8698292018907051
Zfp385a,654.180809472768,0.039296568819100534,0.07897742684698492,0.03415426037280943,0.4931330115565154
Itga5,76.29490116280165,-8.533422754791117e-4,0.05594123230134711,0.8981385333328827,0.9861085882833597
Gabra2,2786.4793774238997,-0.005949279945079947,0.04181889017293842,0.48839701742117453,0.9104228905257306
Wdr77,2149.139009263895,-0.011290089358987381,0.037653379133020345,0.2242300271084872,0.8169182728695148
Atp5pb,6161.4636314181835,-0.0038370921481866056,0.0173337082374763,0.37734921582940717,0.8765203923414364
Hnrnpd,1431.9136345626544,-0.01820574257035418,0.060356088138120344,0.12611267551181798,0.711289348422424
Dynlt1c,549.9910830934591,-0.0041403772046712944,0.03705771338145132,0.6142670069902209,0.9384670216358083
C1d,801.2356079883605,-0.005330214892287388,0.03346031280933342,0.509736395198976,0.920529675423103
Gm2a,1117.2914113216095,-0.0046329908064813,0.029727208143187824,0.5385610297538165,0.9228952998655312
Krit1,1577.2120147649982,-0.001064558726553675,0.026509150527119708,0.878230936686156,0.9828466946460479
Clcn4,4271.329870448716,-0.016146371418552612,0.04089826138474396,0.123953046477272,0.7081881384540984
Sema4f,10513.847025492818,-0.005942749776089007,0.028201674278934948,0.41235525173602783,0.887070030667019
Hk2,608.5207126475412,0.010645962534086522,0.07637660407030976,0.11436644410046948,0.6975272542237129
Myo18a,7459.730787930206,-0.13928290693026044,0.07509055018226918,7.810204645464036e-4,0.07516101626783281
Sez6,4903.477671932791,-0.010846732256911644,0.06452050891219387,0.22532280165524537,0.8172120656692208
Hoxb6,144.50451954153073,0.01906305578685831,0.06264570421720501,0.11651626177976517,0.6994217256067624
Kat2b,315.94039034670215,-0.008961426293015065,0.049625211581409395,0.329455688236112,0.8690598128529347
Rab5b,5912.375288651731,-0.00851257458521779,0.026330940132443484,0.20026807782056388,0.7952793260450607
Spg7,2090.0108159934766,-0.008164889539423644,0.0423874295759868,0.36725900394698513,0.8743983269862926
Rpl13,6315.3407331883045,0.00751613050575623,0.03222042102985024,0.3518822527446038,0.869855757601747
Chmp1a,3513.001935758113,-0.0016331219258836724,0.016895571434002606,0.7228916316847718,0.9594759457843735
Rpa1,1889.1167563362828,0.034117186869053816,0.07737642704796868,0.04377717077179839,0.5291125586635472
Serpinf1,8575.224593613893,0.062040474493085,0.05869926530972911,0.008186907022151036,0.26514980516534153
Tubgcp3,1443.1018244871216,-0.001881751211713774,0.02485663243698025,0.7764415173973565,0.9672445598087822
Oprm1,3017.6289017144045,-0.012058245576037623,0.056057181975359374,0.22533703661451843,0.8172120656692208
Polr3d,1547.283429263779,-0.0017865721176874522,0.024082899810515507,0.7822926532599994,0.9686229917149308
Ddx3x,7547.987590939757,-0.005972815522028645,0.027806304506704592,0.4041475931284496,0.8849366936611714
Usp32,7291.116671380559,-0.0016931452428815856,0.017110531480951055,0.7164987200974573,0.9581838273977287
Txnrd3,129.06438689259954,0.006774544684260293,0.04991425989786881,0.42875079196406385,0.8900155469183246
Zfp512b,7551.211766517982,-0.00498771221360006,0.023575173385341423,0.41627386136873173,0.8877738113355174
Dnajc5,11606.898875095041,-7.024112164776002e-4,0.015639281315808606,0.8707937051741746,0.9821844941246666
Tpd52l2,1684.835522796658,-0.07030469540864168,0.07638989994954574,0.009273894809858588,0.2795321074471553
Fmr1,1592.9237885567059,-8.868743724851827e-4,0.0214891726740857,0.880392105867344,0.9829407165551202
Bcl11a,1692.7925148404593,0.008001977734487182,0.04128554922630007,0.3737757692104482,0.8756401321034011
Pxmp4,604.6139424425077,0.017664392711162925,0.04908045398069445,0.1297935373571255,0.7212339905135666
Dlg3,339.76698497711374,-0.003456272371792156,0.03837474534404336,0.6722953541898508,0.9507349480763724
Gnb1l,146.61726253741338,0.007326296502092259,0.05126559636586672,0.39684015834148534,0.8824512624401759
Mmp11,91.62949399643063,-0.009621250408545596,0.060417807719271764,0.27452088259796065,0.8430998290623357
Smarcb1,2444.7267923631966,0.0010346331701362684,0.019624910246588863,0.8485312116237842,0.9772177094392449
Hip1r,1194.9887106714089,0.024235011292374563,0.0773315945977476,0.0740395635077573,0.6306147438421014
Nsun5,429.7085593742024,1.774307855130837e-5,0.030645705744696453,0.998121782060687,0.9995972527222509
Top1mt,644.3812705660446,-7.989897838226468e-4,0.025930562015785964,0.9070710779309468,0.987358119859166
Hoxa10,449.00759521134466,-0.002872576230832917,0.036350142381973864,0.721443315332697,0.9592011181428883
Hoxa4,168.7965117610178,-0.002544387321686739,0.035913333193190185,0.7508399586409995,0.9618997197559414
Gm38393,1909.1893594324858,-0.008070171503149648,0.03710016512781772,0.3575801751400476,0.8715742655147644
Slc7a7,518.5571603993249,-0.01260866723987087,0.05480558136913272,0.2150006496220761,0.8072345919278082
Oxa1l,1516.769838512568,0.005376665480736923,0.026853565520062638,0.43974199912529455,0.8940759557727797
Heatr6,1640.198398625329,0.011689557048224438,0.03377662485105968,0.17486101732550688,0.7775949499695285
Ilf2,1694.9575063576408,-0.04512870537309436,0.06185709435741703,0.02179763937314973,0.42217503427430564
Chtop,2767.9267404211982,-2.5050086864152656e-4,0.013988213384108883,0.9481124803417547,0.9918963649443147
Snapin,931.6661458855713,-0.0018645485521116506,0.024656283811799677,0.7770793796530497,0.9673636986929021
Mapk7,2711.03633451907,0.011670505589181705,0.03384089738596702,0.17620911222035737,0.7788086571360748
Epn2,3838.7210037702466,-0.010661942741034568,0.030249550848914775,0.16715459243073022,0.765146885753153
B9d1,103.45757393616,-0.001410590646239433,0.04004895263727694,0.8599317282115837,0.9802097973276788
Sec24b,3006.0691149417817,5.522458472663988e-4,0.026366403685483167,0.9364221387959429,0.9910614682923319
Rmnd5b,1335.1415205913734,0.004688034087703583,0.02347644322477317,0.44515566651076616,0.8946691956403356
Nhp2,761.1493324147605,0.0023813850692453284,0.020527779602045403,0.6687318670288147,0.9507349480763724
Vps9d1,1707.0147302155044,-0.005587606193224025,0.03102932872074876,0.4726039975824521,0.9038248784692818
Zfp276,900.4525502353808,-0.0040866927085557855,0.027233466050576634,0.5634097856005922,0.9288655172230902
Mfsd10,550.5973896631778,0.002018522576253872,0.03547477289588653,0.799782159569089,0.9710037559523962
Luzp1,2238.7220874724367,-0.010776256561660716,0.041590019255594225,0.26139502464980324,0.8342957629670837
Kctd10,2028.026410976124,-0.01409610351651303,0.04319360981364077,0.17567439496450268,0.7776355163089118
Poldip2,1715.9872780966155,-0.013418247574932107,0.03536984892351,0.14066813812041368,0.7327964442731162
Ift20,624.3420098620214,0.0017703905335259423,0.0250472906170105,0.7906067160197611,0.9693080046772657
Pcbp3,11868.845558789833,-0.02783118214683916,0.05149581100138302,0.05242586517081585,0.5615493975427039
Lgals9,1190.5487076118013,-0.013755739291122317,0.05115081973691068,0.19406934421175176,0.7907696090456412
Araf,2621.300210204836,0.030136505822505506,0.05326201676652712,0.045887384197517984,0.5359171006018477
Cfp,136.85410651116877,0.018076248664689477,0.06502330465165096,0.12365357553278601,0.7075140386449461
Uxt,103.64524255455164,-0.0024174392113808217,0.04161828174243742,0.7638650065589382,0.9643634235695194
Cnnm3,362.9213395822586,-0.008737628582733048,0.0460957575296327,0.34232969073827063,0.8698292018907051
Lman2l,1699.7518891656393,0.05644851966541596,0.08910739878040697,0.017024055617606903,0.3812769401776033
Mcm3ap,2758.802124104892,-0.0132576523878725,0.03296853819487408,0.12106826675176424,0.7041355756363367
Pcnt,642.1657422244244,-0.01245823876456298,0.05077101058520392,0.22211444552729967,0.8152734320297017
Mxd1,459.5015722787758,-0.01638134224294197,0.0630511431772559,0.14365977652322504,0.7373338030054525
Gmcl1,2153.3604176807007,-0.05004071608380951,0.06428875474818321,0.017833113724334694,0.38673995573301895
Snrnp27,385.7176767373519,0.0015787924533889703,0.03301812068793303,0.8393283617421801,0.9765371132899583
Ocrl,3429.6988418863757,-0.035340786219722385,0.06858114970139781,0.04147108679327756,0.5204631947924766
Calm1,52914.81063080429,-0.004291146202301118,0.02349693060079007,0.4878314705661165,0.9103272205350064
Agpat3,4527.282254607452,2.8265424754584945e-4,0.019891849127272647,0.9590672488844656,0.9930971383987439
Sema6b,197.0227803662942,0.003474586726354435,0.04539750319095899,0.6662009219572143,0.9507349480763724
Dpp9,3766.2952500784445,6.223153563508508e-5,0.01617994134540778,0.9889555840186148,0.9978665534027932
Gramd1a,5453.946232708897,0.008903220487922458,0.033659356434601585,0.28982711183988435,0.8554413425593941
Hpn,67.00967393769758,-0.007859919124245506,0.05080806687752633,0.3731107322254762,0.8750280609685371
Ckb,7550.563559720027,-0.006746843121036869,0.026144595263784237,0.3137216297459904,0.8673405692995947
Sp1,1239.31103881792,0.00386854086285933,0.034330660691074016,0.6300675225331915,0.9416612160354105
Myg1,438.2597393875973,0.018126685587984172,0.05286325555084773,0.12807724252195085,0.7174857042024751
Rarg,328.22223627512625,0.006217141982480395,0.04250039636695253,0.47173032569574935,0.9033193879943903
Pfdn5,1431.6141743355283,-0.06271136265197653,0.07581959553731185,0.012433846114784142,0.3293765944987335
Efnb2,1145.0234084686983,0.006343311715905928,0.044935909455873294,0.4625590773123266,0.8994388241205113
Rrp15,221.74101732646434,0.006973296423568812,0.035520835130560716,0.41056472378444736,0.8862749077193525
Rnd2,1064.5660580927354,0.001475823814342037,0.02130200004818982,0.8000695208149764,0.9710037559523962
Srr,2087.601725833495,0.005155945258736125,0.0304589280163663,0.501453472628176,0.9175470843602179
Sync,852.2981801445926,-0.009238106823492943,0.044196696251950336,0.3220862376777434,0.8690598128529347
Fbxo9,813.6392140384936,0.0010980103099821757,0.04449053478399247,0.8886384697584367,0.984525511498282
Vps50,1307.745414039799,0.0034826112348874225,0.02726266296015423,0.6229351547233354,0.9398230592945044
Hars,4734.291099198623,0.016946906878762748,0.03531638954991566,0.07560063575527608,0.6328905929418905
Zmat2,1497.9607564183846,-0.029478641736017847,0.05709561069528128,0.05341612822536488,0.5643052036707072
Smg5,3121.2664832748183,0.007555007396929825,0.026138626070920504,0.2551342320759384,0.8309308590583395
