gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Mcts1,541.8436299180719,-0.004953659767259174,0.0730156391888077,0.9256354087877642,0.9706288384649425
Trappc10,4467.382203056275,0.021893167991260887,0.05800167260581467,0.6298207129020742,0.8207057591799164
Ccm2,1476.2654849147505,-0.04890108125182496,0.05889893921631958,0.2875692736665632,0.5501509442897516
Tbrg4,1735.0233382276233,0.016448407992209542,0.05239196774680861,0.6940942968703607,0.8607198012556415
Ndufa9,3179.5280171830495,-0.04152397321967145,0.05173880974197316,0.3126181751167485,0.5761266728139001
Lck,100.63776293412495,0.03051152610476352,0.11754635151247245,0.5845884054386219,0.7920976766244576
Cttnbp2,148.3942605490145,0.023614234767481847,0.15103390485266027,0.603209549091562,0.8048456700292309
Galnt1,1116.2647349891938,-0.019018375660908457,0.07412311824211061,0.7225711129032093,0.8751408290004329
Mkrn2,2278.3676856416855,-0.01579478122307116,0.08172186324995925,0.7777379637555516,0.9030441409967022
Raf1,2910.7758833194475,0.020527485111566778,0.055004566207282925,0.6371779418537673,0.8253162868301479
Pdgfb,127.11653984492035,-0.016941277065023595,0.14251746526681905,0.7190467875460697,0.873665252415909
Tamalin,162.7639684415174,-0.13947179659946454,0.15694039473977991,0.049376670288164386,0.19308629352685996
Acvr1b,3850.1787107937844,0.13463736536175624,0.06681711095023125,0.01297480150728921,0.0804561887002437
Tom1l2,10548.767012544286,-0.01384676071935986,0.07009639258356593,0.7895418414984379,0.9080846895750684
Zfp385a,654.180809472768,-0.12703784715863348,0.0980974853677136,0.04966404285226057,0.1939022757065438
Itga5,76.29490116280165,-0.0701970618038134,0.178741383952013,0.18083723919603278,0.4280260200776713
Gabra2,2786.4793774238997,0.08468837037036703,0.11425558771277933,0.17662256099434853,0.4219621230272276
Wdr77,2149.139009263895,-0.021392825574495938,0.06807171602050469,0.6747132084803995,0.8501275155529666
Atp5pb,6161.4636314181835,0.013409716765318417,0.037966585942479224,0.6652581666494132,0.844548087889052
Hnrnpd,1431.9136345626544,-0.410342505097378,0.19678090062923723,2.5142613843694264e-4,0.004636328103692005
Dynlt1c,549.9910830934591,0.04293765976867984,0.09760045835643585,0.4665367086561681,0.7120523569479563
C1d,801.2356079883605,-0.04488172507079134,0.08421997870176091,0.4329907546577794,0.6867860051344999
Gm2a,1117.2914113216095,-0.03283369770074606,0.0748090377344434,0.543074511930947,0.7641754441358699
Krit1,1577.2120147649982,0.2916501132908302,0.10691580665129624,1.0983154272187677e-4,0.002450914752261011
Clcn4,4271.329870448716,-0.29428211413862104,0.07379713282448812,9.996393332353475e-7,4.985245873195551e-5
Sema4f,10513.847025492818,-0.11833118349761228,0.07343831550259555,0.0360630965900745,0.15853862376750094
Hk2,608.5207126475412,0.06774891881037813,0.2027406748054484,0.14846114964685792,0.37940756044605717
Myo18a,7459.730787930206,-0.009587315431204637,0.04980928107621961,0.8110973058190887,0.9185525984259937
Sez6,4903.477671932791,0.04579129763049471,0.14021522738105055,0.38786450282344637,0.6456386242532837
Hoxb6,144.50451954153073,0.0396035812318095,0.10260827297538305,0.499944129339601,0.7346791088438314
Kat2b,315.94039034670215,0.04116205694710969,0.11208816616521629,0.4770653606837533,0.7202464901216415
Rab5b,5912.375288651731,-0.012699440419214877,0.04250746120744787,0.7139561244254318,0.8711749916466042
Spg7,2090.0108159934766,0.03550261670820795,0.09662971393649109,0.5442085079295744,0.7646935018923872
Rpl13,6315.3407331883045,-0.04237460127731564,0.07119095265256464,0.4205442955962213,0.6753782280463708
Chmp1a,3513.001935758113,-0.036322735351432114,0.05045293533368612,0.36631934373811526,0.6254321397444954
Rpa1,1889.1167563362828,0.22550510740033033,0.1302295205902308,0.004003030485718445,0.03547433778638835
Serpinf1,8575.224593613893,-0.034102687843127893,0.04224250884990099,0.3149863542168228,0.5788455782847715
Tubgcp3,1443.1018244871216,0.2345262604325447,0.08863800654254649,4.35573158759582e-4,0.007013581921046445
Oprm1,3017.6289017144045,-0.07900330070114676,0.12521014719503348,0.1984393346132029,0.44760588239616067
Polr3d,1547.283429263779,0.11483386528839042,0.07687429535789135,0.04659663520333137,0.1866593016047596
