gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Serpinf1,8575.224593613893,-0.1976770578436566,0.045974106011785545,5.238165351143892e-6,3.763117148284271e-5
Tubgcp3,1443.1018244871216,0.10896923605843296,0.08269037245641155,0.1227983356057558,0.2219524988709651
Oprm1,3017.6289017144045,0.3134463372879462,0.2053555826610829,0.019439362799733968,0.05061383871636504
Polr3d,1547.283429263779,-0.04436695231000982,0.07653392193077166,0.5060799440197354,0.6413469907855043
Ddx3x,7547.987590939757,-0.3767360941198068,0.07961017077957887,2.8298887096961153e-7,2.6508417586339734e-6
Usp32,7291.116671380559,-0.017672194081453364,0.053995527170469335,0.7248952078991597,0.817849008845966
Txnrd3,129.06438689259954,0.16245359334708964,0.1908215467377626,0.17097201182383162,0.2869255097610297
Zfp512b,7551.211766517982,0.201865087401841,0.065214555751887393,6.030988810287746e-4,0.002566138865807408
Dnajc5,11606.898875095041,0.0958032431935404,0.05337472508215573,0.05298998984860874,0.11447399069715232
Tpd52l2,1684.835522796658,-0.1583511510608794,0.0660222499406354,0.007432455168916794,0.022527800878621326
Fmr1,1592.9237885567059,-0.053802693184573855,0.07005004452211176,0.38735614409893954,0.5295142584630715
Bcl11a,1692.7925148404593,1.1995965820213872,0.14903687185044737,6.149787714694026e-17,2.2545561032619347e-15
Pxmp4,604.6139424425077,0.3362666096436931,0.10598178756111151,2.0470068796592296e-4,9.861177451561357e-4
Dlg3,339.76698497711374,0.27944093382270857,0.1658806961843403,0.017754180658271154,0.04699097493523508
Gnb1l,146.61726253741338,0.0752733435596092,0.17161284280597602,0.49014691831548735,0.6276122390655066
Mmp11,91.62949399643063,-0.21293181515178336,0.24121523904581663,0.11156728819886563,0.20591637039760666
Smarcb1,2444.7267923631966,-0.1602243593289196,0.06803968720890742,0.008239927392314403,0.024534548131140636
Hip1r,1194.9887106714089,0.31861894545913033,0.19588648569190198,0.0153556606494924,0.04155338925317385
Nsun5,429.7085593742024,0.13927376860938137,0.11292485590488621,0.11493114117040269,0.2107669788502338
Top1mt,644.3812705660446,-0.3002131519355815,0.09842567739873363,3.7541631336759104e-4,0.0016815920538407224
Hoxa10,449.00759521134466,0.5428114108606695,0.16979008065191512,6.069240489133479e-5,3.3540109620971823e-4
Hoxa4,168.7965117610178,0.53677211171601,0.17196069898342986,8.048875538879749e-5,4.3069526015604144e-4
Gm38393,1909.1893594324858,0.033984918632217115,0.09650566985373595,0.6669630894070013,0.7733105549054444
Slc7a7,518.5571603993249,-0.10471754757778486,0.14987140564262905,0.3124044358189333,0.45417182112800897
Oxa1l,1516.769838512568,0.19062239323623956,0.078053302807553,0.005050358712337704,0.016242903033570715
Heatr6,1640.198398625329,0.20107001684064404,0.06533101921908961,6.446468424596038e-4,0.0027213021951396164
Ilf2,1694.9575063576408,-0.15975054807079261,0.05974388749560901,0.0033308115461666388,0.011324575386607964
Chtop,2767.9267404211982,-0.04710646718299311,0.048258986836277655,0.3001433926690738,0.4405059348144467
Snapin,931.6661458855713,0.0924479756069155,0.08094246871168705,0.18344929734777704,0.30254765627659896
Mapk7,2711.03633451907,0.23067985044052502,0.06600325626118464,1.1532549214778689e-4,5.931438047083252e-4
Epn2,3838.7210037702466,0.726500234481264,0.05616046169924023,7.140962431237597e-40,1.5993159132360859e-37
B9d1,103.45757393616,0.1453075616793922,0.16263194323584626,0.18462794233181046,0.30412503258133744
Sec24b,3006.0691149417817,0.15205932661822052,0.09425538424199727,0.0513160792268968,0.11154252054295302
Rmnd5b,1335.1415205913734,0.030650913474838122,0.06159743226936512,0.5849897631497948,0.7074321522166868
